MBM sample,Arg,Cys,His,Ile,Leu,Lys,Met,Phe,Thr,Val
1,3.69,0.44,0.85,1.25,3.22,2.54,0.65,1.57,1.66,2.09
2,3.83,0.53,0.8,1.43,3.15,2.65,0.57,1.61,1.63,2.21
4,3.91,0.53,1.26,1.54,3.71,2.87,0.63,1.94,1.62,2.32
5,3.57,1.07,0.95,1.29,3.15,2.68,0.84,1.68,1.59,2.11
6,3.76,0.5,0.86,1.71,3.67,2.49,0.96,1.98,1.97,2.82
7,3.54,0.42,0.74,1.22,2.93,2.44,0.61,1.54,1.53,2.06
8,3.58,0.64,0.9,1.32,2.99,2.52,0.6,1.64,1.65,2.21
9,3.73,0.34,0.87,1.17,3,2.69,0.66,1.62,1.55,2.16
10,4.04,0.84,1.03,1.68,3.75,3.01,0.88,2.02,2.03,2.74
11,3.69,0.62,0.94,1.41,3.25,2.72,0.61,1.74,1.76,2.29
12,3.62,0.36,1.12,1.36,3.51,2.79,0.77,1.85,1.71,2.45
13,4,0.91,1.1,1.74,4,3.02,0.86,2.12,2.04,2.86
14,4,0.34,0.98,1.39,3.15,2.55,0.68,1.7,1.61,2.12
16,4.3,1.38,0.77,2.11,4.2,2.32,0.75,2.15,2.18,3.21
Mean,3.8,0.64,0.94,1.47,3.41,2.66,0.72,1.8,1.75,2.4
Pooled SEM,0.12,0.04,0.05,0.02,0.06,0.07,0.02,0.03,0.03,0.04
