MBM sample,Moisture,Crude protein,Ether extract,Ash,Ca,P
1,7.4,48.7,8.7,30.3,12.6,5.7
2,7.9,50.2,11.9,25.7,10.3,4.8
4,7.5,52.1,11.3,22,8.8,3.8
5,7.4,57.8,10.6,19.8,8.4,3.5
6,7.6,50.4,11.9,22.4,8.2,3.6
7,7.3,47.8,10,28.2,11,5.3
8,8,48.2,11.9,25.3,9.6,3.9
9,6.9,49.7,14.7,24.6,10.8,5.1
10,8.2,56,15.1,18.3,6.6,2.9
11,8.3,48.8,13.6,23.5,9.5,4.1
12,7.2,51.3,13.1,22.2,9.8,4.2
13,8.2,53.3,14.3,17.3,6.8,2.6
14,8,51.6,14.3,23.4,8.9,3.8
16,8.4,56.3,10.9,16.5,6.8,2.9
Mean,7.7,51.6,12.3,22.8,10,4
Pooled SEM,0.07,0.35,0.12,0.21,0.5,0.41
